player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Connor McDavid (C),Edmonton Oilers,82,30,70,100,1.22,26,27,https://www.eliteprospects.com/player/183442/connor-mcdavid,2016-17,nhl,Connor McDavid,C,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,75,44,45,89,1.19,24,17,https://www.eliteprospects.com/player/6146/sidney-crosby,2016-17,nhl,Sidney Crosby,C,FW,0,0.0,0
Patrick Kane (RW),Chicago Blackhawks,82,34,55,89,1.09,32,11,https://www.eliteprospects.com/player/9326/patrick-kane,2016-17,nhl,Patrick Kane,RW,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,82,23,63,86,1.05,38,17,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2016-17,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Nikita Kucherov (RW),Tampa Bay Lightning,74,40,45,85,1.15,38,13,https://www.eliteprospects.com/player/77237/nikita-kucherov,2016-17,nhl,Nikita Kucherov,RW,FW,0,0.0,0
Brad Marchand (W/C),Boston Bruins,80,39,46,85,1.06,81,18,https://www.eliteprospects.com/player/10439/brad-marchand,2016-17,nhl,Brad Marchand,W/C,FW,0,0.0,0
Mark Scheifele (C),Winnipeg Jets,79,32,50,82,1.04,38,18,https://www.eliteprospects.com/player/75379/mark-scheifele,2016-17,nhl,Mark Scheifele,C,FW,0,0.0,0
Leon Draisaitl (C/W),Edmonton Oilers,82,29,48,77,0.94,20,7,https://www.eliteprospects.com/player/71913/leon-draisaitl,2016-17,nhl,Leon Draisaitl,C/W,FW,Leon Draisaitl,4.0,1
Brent Burns (D),San Jose Sharks,82,29,47,76,0.93,40,19,https://www.eliteprospects.com/player/9103/brent-burns,2016-17,nhl,Brent Burns,D,DEF,0,0.0,0
Vladimir Tarasenko (RW),St. Louis Blues,82,39,36,75,0.91,12,-1,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2016-17,nhl,Vladimir Tarasenko,RW,FW,0,0.0,0
Artemi Panarin (LW),Chicago Blackhawks,82,31,43,74,0.90,21,18,https://www.eliteprospects.com/player/24664/artemi-panarin,2016-17,nhl,Artemi Panarin,LW,FW,0,0.0,0
Blake Wheeler (RW/C),Winnipeg Jets,82,26,48,74,0.90,47,6,https://www.eliteprospects.com/player/9215/blake-wheeler,2016-17,nhl,Blake Wheeler,RW/C,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,74,15,58,73,0.99,49,7,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2016-17,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Yevgeni Malkin (C),Pittsburgh Penguins,62,33,39,72,1.16,77,18,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2016-17,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Tyler Seguin (C/RW),Dallas Stars,82,26,46,72,0.88,22,-15,https://www.eliteprospects.com/player/23807/tyler-seguin,2016-17,nhl,Tyler Seguin,C/RW,FW,0,0.0,0
Victor Hedman (D),Tampa Bay Lightning,79,16,56,72,0.91,47,3,https://www.eliteprospects.com/player/6007/victor-hedman,2016-17,nhl,Victor Hedman,D,DEF,0,0.0,0
Erik Karlsson (D),Ottawa Senators,77,17,54,71,0.92,28,10,https://www.eliteprospects.com/player/9878/erik-karlsson,2016-17,nhl,Erik Karlsson,D,DEF,0,0.0,0
David Pastrnak (RW),Boston Bruins,75,34,36,70,0.93,34,11,https://www.eliteprospects.com/player/130383/david-pastrnak,2016-17,nhl,David Pastrnak,RW,FW,0,0.0,0
Phil Kessel (RW/C),Pittsburgh Penguins,82,23,47,70,0.85,20,3,https://www.eliteprospects.com/player/8793/phil-kessel,2016-17,nhl,Phil Kessel,RW/C,FW,0,0.0,0
Auston Matthews (C),Toronto Maple Leafs,82,40,29,69,0.84,14,2,https://www.eliteprospects.com/player/199898/auston-matthews,2016-17,nhl,Auston Matthews,C,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,82,33,36,69,0.84,50,6,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2016-17,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
Jamie Benn (LW),Dallas Stars,77,26,43,69,0.90,66,-9,https://www.eliteprospects.com/player/15399/jamie-benn,2016-17,nhl,Jamie Benn,LW,FW,0,0.0,0
Mikael Granlund (C),Minnesota Wild,81,26,43,69,0.85,12,23,https://www.eliteprospects.com/player/16037/mikael-granlund,2016-17,nhl,Mikael Granlund,C,FW,0,0.0,0
Joe Pavelski (C/RW),San Jose Sharks,81,29,39,68,0.84,34,11,https://www.eliteprospects.com/player/10372/joe-pavelski,2016-17,nhl,Joe Pavelski,C/RW,FW,0,0.0,0
Henrik Zetterberg (C),Detroit Red Wings,82,17,51,68,0.83,22,15,https://www.eliteprospects.com/player/285/henrik-zetterberg,2016-17,nhl,Henrik Zetterberg,C,FW,0,0.0,0
Max Pacioretty (LW),Montréal Canadiens,81,35,32,67,0.83,38,15,https://www.eliteprospects.com/player/12461/max-pacioretty,2016-17,nhl,Max Pacioretty,LW,FW,0,0.0,0
