player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Sebastian Aho (C/LW),Carolina Hurricanes,68,38,28,66,0.97,26,10,https://www.eliteprospects.com/player/152111/sebastian-aho,2019-20,nhl,Sebastian Aho,C/LW,FW,0,0.0,0
Max Pacioretty (LW),Vegas Golden Knights,71,32,34,66,0.93,44,18,https://www.eliteprospects.com/player/12461/max-pacioretty,2019-20,nhl,Max Pacioretty,LW,FW,0,0.0,0
Steven Stamkos (C/W),Tampa Bay Lightning,57,29,37,66,1.16,22,14,https://www.eliteprospects.com/player/11113/steven-stamkos,2019-20,nhl,Steven Stamkos,C/W,FW,0,0.0,0
Elias Pettersson (C/W),Vancouver Canucks,68,27,39,66,0.97,18,16,https://www.eliteprospects.com/player/266336/elias-pettersson,2019-20,nhl,Elias Pettersson,C/W,FW,0,0.0,0
Blake Wheeler (RW/C),Winnipeg Jets,71,22,43,65,0.92,37,1,https://www.eliteprospects.com/player/9215/blake-wheeler,2019-20,nhl,Blake Wheeler,RW/C,FW,Blake Wheeler,6.0,1
Roman Josi (D),Nashville Predators,69,16,49,65,0.94,41,22,https://www.eliteprospects.com/player/12668/roman-josi,2019-20,nhl,Roman Josi,D,DEF,0,0.0,0
Brayden Point (C),Tampa Bay Lightning,66,25,39,64,0.97,11,28,https://www.eliteprospects.com/player/62204/brayden-point,2019-20,nhl,Brayden Point,C,FW,0,0.0,0
Patrik Laine (LW/RW),Winnipeg Jets,68,28,35,63,0.93,22,8,https://www.eliteprospects.com/player/221667/patrik-laine,2019-20,nhl,Patrik Laine,LW/RW,FW,0,0.0,0
Mark Stone (RW),Vegas Golden Knights,65,21,42,63,0.97,27,15,https://www.eliteprospects.com/player/32806/mark-stone,2019-20,nhl,Mark Stone,RW,FW,0,0.0,0
Teuvo Teräväinen (W/C),Carolina Hurricanes,68,15,48,63,0.93,8,20,https://www.eliteprospects.com/player/44567/teuvo-teravainen,2019-20,nhl,Teuvo Teräväinen,W/C,FW,0,0.0,0
Anze Kopitar (C),Los Angeles Kings,70,21,41,62,0.89,16,6,https://www.eliteprospects.com/player/4233/anze-kopitar,2019-20,nhl,Anze Kopitar,C,FW,0,0.0,0
Aleksander Barkov (C),Florida Panthers,66,20,42,62,0.94,18,2,https://www.eliteprospects.com/player/50044/aleksander-barkov,2019-20,nhl,Aleksander Barkov,C,FW,0,0.0,0
Travis Konecny (RW/LW),Philadelphia Flyers,66,24,37,61,0.92,28,-1,https://www.eliteprospects.com/player/205148/travis-konecny,2019-20,nhl,Travis Konecny,RW/LW,FW,0,0.0,0
Andrei Svechnikov (RW/LW),Carolina Hurricanes,68,24,37,61,0.90,54,9,https://www.eliteprospects.com/player/328556/andrei-svechnikov,2019-20,nhl,Andrei Svechnikov,RW/LW,FW,0,0.0,0
Matthew Tkachuk (LW/RW),Calgary Flames,69,23,38,61,0.88,74,-5,https://www.eliteprospects.com/player/233030/matthew-tkachuk,2019-20,nhl,Matthew Tkachuk,LW/RW,FW,0,0.0,0
Ryan Nugent-Hopkins (C),Edmonton Oilers,65,22,39,61,0.94,33,1,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2019-20,nhl,Ryan Nugent-Hopkins,C,FW,0,0.0,0
Tomas Tatar (LW/RW),Montréal Canadiens,68,22,39,61,0.90,36,5,https://www.eliteprospects.com/player/17750/tomas-tatar,2019-20,nhl,Tomas Tatar,LW/RW,FW,0,0.0,0
Ryan O'Reilly (C),St. Louis Blues,71,12,49,61,0.86,10,11,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2019-20,nhl,Ryan O'Reilly,C,FW,0,0.0,0
John Tavares (C),Toronto Maple Leafs,63,26,34,60,0.95,24,-7,https://www.eliteprospects.com/player/9223/john-tavares,2019-20,nhl,John Tavares,C,FW,0,0.0,0
David Perron (LW/RW),St. Louis Blues,71,25,35,60,0.85,52,2,https://www.eliteprospects.com/player/11123/david-perron,2019-20,nhl,David Perron,LW/RW,FW,0,0.0,0
Mathew Barzal (C),New York Islanders,68,19,41,60,0.88,44,5,https://www.eliteprospects.com/player/186310/mathew-barzal,2019-20,nhl,Mathew Barzal,C,FW,0,0.0,0
Jonathan Toews (C),Chicago Blackhawks,70,18,42,60,0.86,48,-2,https://www.eliteprospects.com/player/8792/jonathan-toews,2019-20,nhl,Jonathan Toews,C,FW,0,0.0,0
William Nylander (RW),Toronto Maple Leafs,68,31,28,59,0.87,12,-2,https://www.eliteprospects.com/player/38703/william-nylander,2019-20,nhl,William Nylander,RW,FW,0,0.0,0
Mike Hoffman (LW/C),Florida Panthers,69,29,30,59,0.86,28,-5,https://www.eliteprospects.com/player/18800/mike-hoffman,2019-20,nhl,Mike Hoffman,LW/C,FW,0,0.0,0
Sean Couturier (C),Philadelphia Flyers,69,22,37,59,0.86,30,21,https://www.eliteprospects.com/player/32885/sean-couturier,2019-20,nhl,Sean Couturier,C,FW,0,0.0,0
Ryan Strome (C/RW),New York Rangers,70,18,41,59,0.84,48,21,https://www.eliteprospects.com/player/44789/ryan-strome,2019-20,nhl,Ryan Strome,C/RW,FW,0,0.0,0
Nikolaj Ehlers (LW),Winnipeg Jets,71,25,33,58,0.82,30,14,https://www.eliteprospects.com/player/66581/nikolaj-ehlers,2019-20,nhl,Nikolaj Ehlers,LW,FW,0,0.0,0
Brayden Schenn (C/W),St. Louis Blues,71,25,33,58,0.82,44,3,https://www.eliteprospects.com/player/14739/brayden-schenn,2019-20,nhl,Brayden Schenn,C/W,FW,0,0.0,0
Johnny Gaudreau (LW),Calgary Flames,70,18,40,58,0.83,12,-10,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2019-20,nhl,Johnny Gaudreau,LW,FW,0,0.0,0
Jaden Schwartz (LW),St. Louis Blues,71,22,35,57,0.80,18,3,https://www.eliteprospects.com/player/33907/jaden-schwartz,2019-20,nhl,Jaden Schwartz,LW,FW,0,0.0,0
Patrice Bergeron (C),Boston Bruins,61,31,25,56,0.92,28,23,https://www.eliteprospects.com/player/9079/patrice-bergeron,2019-20,nhl,Patrice Bergeron,C,FW,0,0.0,0
Bryan Rust (RW/LW),Pittsburgh Penguins,55,27,29,56,1.02,30,14,https://www.eliteprospects.com/player/20708/bryan-rust,2019-20,nhl,Bryan Rust,RW/LW,FW,0,0.0,0
Jakub Voracek (RW),Philadelphia Flyers,69,12,44,56,0.81,31,14,https://www.eliteprospects.com/player/9285/jakub-voracek,2019-20,nhl,Jakub Voracek,RW,FW,0,0.0,0
Victor Hedman (D),Tampa Bay Lightning,66,11,44,55,0.83,31,27,https://www.eliteprospects.com/player/6007/victor-hedman,2019-20,nhl,Victor Hedman,D,DEF,0,0.0,0
Elias Lindholm (C),Calgary Flames,70,29,25,54,0.77,22,-8,https://www.eliteprospects.com/player/33387/elias-lindholm,2019-20,nhl,Elias Lindholm,C,FW,0,0.0,0
Reilly Smith (RW/LW),Vegas Golden Knights,71,27,27,54,0.76,20,17,https://www.eliteprospects.com/player/33903/reilly-smith,2019-20,nhl,Reilly Smith,RW/LW,FW,0,0.0,0
Brock Nelson (C),New York Islanders,68,26,28,54,0.79,32,6,https://www.eliteprospects.com/player/74997/brock-nelson,2019-20,nhl,Brock Nelson,C,FW,0,0.0,0
Kevin Fiala (W/C),Minnesota Wild,64,23,31,54,0.84,42,-1,https://www.eliteprospects.com/player/87971/kevin-fiala,2019-20,nhl,Kevin Fiala,W/C,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,61,12,42,54,0.89,14,-1,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2019-20,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Bo Horvat (C),Vancouver Canucks,69,22,31,53,0.77,21,-15,https://www.eliteprospects.com/player/117012/bo-horvat,2019-20,nhl,Bo Horvat,C,FW,0,0.0,0
Claude Giroux (W/C),Philadelphia Flyers,69,21,32,53,0.77,28,7,https://www.eliteprospects.com/player/10437/claude-giroux,2019-20,nhl,Claude Giroux,W/C,FW,0,0.0,0
Dylan Larkin (C),Detroit Red Wings,71,19,34,53,0.75,39,-21,https://www.eliteprospects.com/player/177693/dylan-larkin,2019-20,nhl,Dylan Larkin,C,FW,0,0.0,0
Tony DeAngelo (D),New York Rangers,68,15,38,53,0.78,47,12,https://www.eliteprospects.com/player/89818/tony-deangelo,2019-20,nhl,Tony DeAngelo,D,DEF,0,0.0,0
Quinn Hughes (D),Vancouver Canucks,68,8,45,53,0.78,22,-10,https://www.eliteprospects.com/player/201671/quinn-hughes,2019-20,nhl,Quinn Hughes,D,DEF,0,0.0,0
Jakub Vrána (LW/RW),Washington Capitals,69,25,27,52,0.75,18,3,https://www.eliteprospects.com/player/101250/jakub-vrana,2019-20,nhl,Jakub Vrána,LW/RW,FW,0,0.0,0
Yevgeni Kuznetsov (C),Washington Capitals,63,19,33,52,0.83,40,-2,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,2019-20,nhl,Yevgeni Kuznetsov,C,FW,0,0.0,0
Taylor Hall (LW),totals,65,16,36,52,0.80,34,-14,https://www.eliteprospects.com/player/14360/taylor-hall,2019-20,nhl,Taylor Hall,LW,FW,0,0.0,0
Alex Pietrangelo (D),St. Louis Blues,70,16,36,52,0.74,20,11,https://www.eliteprospects.com/player/11317/alex-pietrangelo,2019-20,nhl,Alex Pietrangelo,D,DEF,0,0.0,0
Sam Reinhart (C/RW),Buffalo Sabres,69,22,28,50,0.72,20,-15,https://www.eliteprospects.com/player/95032/sam-reinhart,2019-20,nhl,Sam Reinhart,C/RW,FW,0,0.0,0
Tyler Seguin (C/RW),Dallas Stars,69,17,33,50,0.72,22,-2,https://www.eliteprospects.com/player/23807/tyler-seguin,2019-20,nhl,Tyler Seguin,C/RW,FW,0,0.0,0
Cale Makar (D),Colorado Avalanche,57,12,38,50,0.88,12,12,https://www.eliteprospects.com/player/199655/cale-makar,2019-20,nhl,Cale Makar,D,DEF,0,0.0,0
Alex Killorn (LW),Tampa Bay Lightning,68,26,23,49,0.72,20,19,https://www.eliteprospects.com/player/12523/alex-killorn,2019-20,nhl,Alex Killorn,LW,FW,0,0.0,0
T.J. Oshie (RW),Washington Capitals,69,26,23,49,0.71,26,4,https://www.eliteprospects.com/player/9209/t.j.-oshie,2019-20,nhl,T.J. Oshie,RW,FW,0,0.0,0
Timo Meier (LW/RW),San Jose Sharks,70,22,27,49,0.70,42,-22,https://www.eliteprospects.com/player/95921/timo-meier,2019-20,nhl,Timo Meier,LW/RW,FW,0,0.0,0
Pierre-Luc Dubois (C/LW),Columbus Blue Jackets,70,18,31,49,0.70,49,-2,https://www.eliteprospects.com/player/252480/pierre-luc-dubois,2019-20,nhl,Pierre-Luc Dubois,C/LW,FW,0,0.0,0
Torey Krug (D),Boston Bruins,61,9,40,49,0.80,33,-4,https://www.eliteprospects.com/player/37747/torey-krug,2019-20,nhl,Torey Krug,D,DEF,0,0.0,0
Sean Monahan (C),Calgary Flames,70,22,26,48,0.69,25,-16,https://www.eliteprospects.com/player/85013/sean-monahan,2019-20,nhl,Sean Monahan,C,FW,0,0.0,0
Filip Forsberg (W/C),Nashville Predators,63,21,27,48,0.76,29,-7,https://www.eliteprospects.com/player/29626/filip-forsberg,2019-20,nhl,Filip Forsberg,W/C,FW,0,0.0,0
Tyler Bertuzzi (LW),Detroit Red Wings,71,21,27,48,0.68,40,-23,https://www.eliteprospects.com/player/125028/tyler-bertuzzi,2019-20,nhl,Tyler Bertuzzi,LW,FW,0,0.0,0
Ryan Suter (D),Minnesota Wild,69,8,40,48,0.70,12,-6,https://www.eliteprospects.com/player/8897/ryan-suter,2019-20,nhl,Ryan Suter,D,DEF,0,0.0,0
Evander Kane (LW),San Jose Sharks,64,26,21,47,0.73,122,-12,https://www.eliteprospects.com/player/14657/evander-kane,2019-20,nhl,Evander Kane,LW,FW,0,0.0,0
Yevgeni Dadonov (RW/LW),Florida Panthers,69,25,22,47,0.68,10,-7,https://www.eliteprospects.com/player/11859/yevgeni-dadonov,2019-20,nhl,Yevgeni Dadonov,RW/LW,FW,0,0.0,0
Jonathan Marchessault (LW/RW),Vegas Golden Knights,66,22,25,47,0.71,28,6,https://www.eliteprospects.com/player/32872/jonathan-marchessault,2019-20,nhl,Jonathan Marchessault,LW/RW,FW,0,0.0,0
Eric Staal (C),Minnesota Wild,66,19,28,47,0.71,28,-9,https://www.eliteprospects.com/player/3656/eric-staal,2019-20,nhl,Eric Staal,C,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,41,16,31,47,1.15,15,-8,https://www.eliteprospects.com/player/6146/sidney-crosby,2019-20,nhl,Sidney Crosby,C,FW,0,0.0,0
Phillip Danault (C/LW),Montréal Canadiens,71,13,34,47,0.66,32,18,https://www.eliteprospects.com/player/45282/phillip-danault,2019-20,nhl,Phillip Danault,C/LW,FW,Phillip Danault,3.0,1
Dominik Kubalík (LW),Chicago Blackhawks,68,30,16,46,0.68,16,2,https://www.eliteprospects.com/player/101221/dominik-kubalik,2019-20,nhl,Dominik Kubalík,LW,FW,0,0.0,0
Zach Parise (LW/RW),Minnesota Wild,69,25,21,46,0.67,8,-11,https://www.eliteprospects.com/player/8903/zach-parise,2019-20,nhl,Zach Parise,LW/RW,FW,0,0.0,0
Pavel Buchnevich (RW/LW),New York Rangers,68,16,30,46,0.68,24,2,https://www.eliteprospects.com/player/158906/pavel-buchnevich,2019-20,nhl,Pavel Buchnevich,RW/LW,FW,0,0.0,0
William Karlsson (C),Vegas Golden Knights,63,15,31,46,0.73,16,11,https://www.eliteprospects.com/player/19432/william-karlsson,2019-20,nhl,William Karlsson,C,FW,0,0.0,0
Shea Theodore (D),Vegas Golden Knights,71,13,33,46,0.65,25,12,https://www.eliteprospects.com/player/101581/shea-theodore,2019-20,nhl,Shea Theodore,D,DEF,0,0.0,0
Kyle Palmieri (RW),New Jersey Devils,65,25,20,45,0.69,41,-4,https://www.eliteprospects.com/player/17508/kyle-palmieri,2019-20,nhl,Kyle Palmieri,RW,FW,0,0.0,0
Chris Kreider (LW),New York Rangers,63,24,21,45,0.71,58,13,https://www.eliteprospects.com/player/37998/chris-kreider,2019-20,nhl,Chris Kreider,LW,FW,0,0.0,0
Tanner Pearson (LW),Vancouver Canucks,69,21,24,45,0.65,27,-4,https://www.eliteprospects.com/player/75951/tanner-pearson,2019-20,nhl,Tanner Pearson,LW,FW,0,0.0,0
André Burakovsky (LW/RW),Colorado Avalanche,58,20,25,45,0.78,22,11,https://www.eliteprospects.com/player/38705/andre-burakovsky,2019-20,nhl,André Burakovsky,LW/RW,FW,0,0.0,0
Alex DeBrincat (W/C),Chicago Blackhawks,70,18,27,45,0.64,15,-10,https://www.eliteprospects.com/player/231275/alex-debrincat,2019-20,nhl,Alex DeBrincat,W/C,FW,0,0.0,0
Brock Boeser (RW),Vancouver Canucks,57,16,29,45,0.79,14,4,https://www.eliteprospects.com/player/248381/brock-boeser,2019-20,nhl,Brock Boeser,RW,FW,0,0.0,0
Mikael Backlund (C),Calgary Flames,70,16,29,45,0.64,26,3,https://www.eliteprospects.com/player/4295/mikael-backlund,2019-20,nhl,Mikael Backlund,C,FW,0,0.0,0
Brent Burns (D),San Jose Sharks,70,12,33,45,0.64,34,-22,https://www.eliteprospects.com/player/9103/brent-burns,2019-20,nhl,Brent Burns,D,DEF,0,0.0,0
Nick Schmaltz (C/RW),Arizona Coyotes,70,11,34,45,0.64,20,3,https://www.eliteprospects.com/player/156966/nick-schmaltz,2019-20,nhl,Nick Schmaltz,C/RW,FW,Nick Schmaltz,4.0,1
Neal Pionk (D),Winnipeg Jets,71,6,39,45,0.63,32,10,https://www.eliteprospects.com/player/196583/neal-pionk,2019-20,nhl,Neal Pionk,D,DEF,0,0.0,0
Keith Yandle (D),Florida Panthers,69,5,40,45,0.65,20,0,https://www.eliteprospects.com/player/10247/keith-yandle,2019-20,nhl,Keith Yandle,D,DEF,0,0.0,0
Tyler Toffoli (W/C),totals,68,24,20,44,0.65,20,-1,https://www.eliteprospects.com/player/23813/tyler-toffoli,2019-20,nhl,Tyler Toffoli,W/C,FW,0,0.0,0
Gabriel Landeskog (LW/RW),Colorado Avalanche,54,21,23,44,0.81,47,-2,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2019-20,nhl,Gabriel Landeskog,LW/RW,FW,0,0.0,0
Tom Wilson (RW),Washington Capitals,68,21,23,44,0.65,93,-3,https://www.eliteprospects.com/player/98663/tom-wilson,2019-20,nhl,Tom Wilson,RW,FW,0,0.0,0
Brady Tkachuk (LW),Ottawa Senators,71,21,23,44,0.62,106,-14,https://www.eliteprospects.com/player/201473/brady-tkachuk,2019-20,nhl,Brady Tkachuk,LW,FW,0,0.0,0
Clayton Keller (W/C),Arizona Coyotes,70,17,27,44,0.63,28,-6,https://www.eliteprospects.com/player/226432/clayton-keller,2019-20,nhl,Clayton Keller,W/C,FW,0,0.0,0
Max Domi (C/LW),Montréal Canadiens,71,17,27,44,0.62,35,-3,https://www.eliteprospects.com/player/95484/max-domi,2019-20,nhl,Max Domi,C/LW,FW,0,0.0,0
Anthony Cirelli (C),Tampa Bay Lightning,68,16,28,44,0.65,30,28,https://www.eliteprospects.com/player/274875/anthony-cirelli,2019-20,nhl,Anthony Cirelli,C,FW,0,0.0,0
Kris Letang (D),Pittsburgh Penguins,61,15,29,44,0.72,38,0,https://www.eliteprospects.com/player/9189/kris-letang,2019-20,nhl,Kris Letang,D,DEF,0,0.0,0
Nikita Gusev (LW),New Jersey Devils,66,13,31,44,0.67,12,-15,https://www.eliteprospects.com/player/75169/nikita-gusev,2019-20,nhl,Nikita Gusev,LW,FW,0,0.0,0
Adam Henrique (C/LW),Anaheim Ducks,71,26,17,43,0.61,22,-2,https://www.eliteprospects.com/player/19043/adam-henrique,2019-20,nhl,Adam Henrique,C/LW,FW,0,0.0,0
Brendan Gallagher (RW),Montréal Canadiens,59,22,21,43,0.73,29,9,https://www.eliteprospects.com/player/25705/brendan-gallagher,2019-20,nhl,Brendan Gallagher,RW,FW,0,0.0,0
Jake Guentzel (W/C),Pittsburgh Penguins,39,20,23,43,1.10,14,11,https://www.eliteprospects.com/player/199870/jake-guentzel,2019-20,nhl,Jake Guentzel,W/C,FW,0,0.0,0
Anders Lee (LW),New York Islanders,68,20,23,43,0.63,47,8,https://www.eliteprospects.com/player/19068/anders-lee,2019-20,nhl,Anders Lee,LW,FW,0,0.0,0
Alex Iafallo (LW/C),Los Angeles Kings,70,17,26,43,0.61,14,1,https://www.eliteprospects.com/player/121859/alex-iafallo,2019-20,nhl,Alex Iafallo,LW/C,FW,0,0.0,0
Connor Brown (RW),Ottawa Senators,71,16,27,43,0.61,24,-6,https://www.eliteprospects.com/player/97341/connor-brown,2019-20,nhl,Connor Brown,RW,FW,0,0.0,0
Josh Bailey (RW/C),New York Islanders,68,14,29,43,0.63,10,-12,https://www.eliteprospects.com/player/14013/josh-bailey,2019-20,nhl,Josh Bailey,RW/C,FW,0,0.0,0
David Krejci (C),Boston Bruins,61,13,30,43,0.70,23,14,https://www.eliteprospects.com/player/9226/david-krejci,2019-20,nhl,David Krejci,C,FW,0,0.0,0
Jean-Gabriel Pageau (C),totals,67,26,16,42,0.63,49,4,https://www.eliteprospects.com/player/45134/jean-gabriel-pageau,2019-20,nhl,Jean-Gabriel Pageau,C,FW,0,0.0,0
Victor Olofsson (LW/RW),Buffalo Sabres,54,20,22,42,0.78,6,-1,https://www.eliteprospects.com/player/86308/victor-olofsson,2019-20,nhl,Victor Olofsson,LW/RW,FW,0,0.0,0
Rickard Rakell (W/C),Anaheim Ducks,65,15,27,42,0.65,12,-5,https://www.eliteprospects.com/player/17435/rickard-rakell,2019-20,nhl,Rickard Rakell,W/C,FW,0,0.0,0
Gustav Nyquist (C/W),Columbus Blue Jackets,70,15,27,42,0.60,16,4,https://www.eliteprospects.com/player/6223/gustav-nyquist,2019-20,nhl,Gustav Nyquist,C/W,FW,0,0.0,0
Matt Duchene (C/RW),Nashville Predators,66,13,29,42,0.64,24,-4,https://www.eliteprospects.com/player/12571/matt-duchene,2019-20,nhl,Matt Duchene,C/RW,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,69,13,29,42,0.61,58,-16,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2019-20,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Robert Thomas (C/RW),St. Louis Blues,66,10,32,42,0.64,18,9,https://www.eliteprospects.com/player/201681/robert-thomas,2019-20,nhl,Robert Thomas,C/RW,FW,0,0.0,0
Adam Fox (D),New York Rangers,70,8,34,42,0.60,32,22,https://www.eliteprospects.com/player/248380/adam-fox,2019-20,nhl,Adam Fox,D,DEF,0,0.0,0
Kevin Hayes (C),Philadelphia Flyers,69,23,18,41,0.59,34,-6,https://www.eliteprospects.com/player/40243/kevin-hayes,2019-20,nhl,Kevin Hayes,C,FW,0,0.0,0
Jason Zucker (LW/RW),totals,60,20,21,41,0.68,21,-4,https://www.eliteprospects.com/player/20726/jason-zucker,2019-20,nhl,Jason Zucker,LW/RW,FW,0,0.0,0
Zach Werenski (D),Columbus Blue Jackets,63,20,21,41,0.65,10,9,https://www.eliteprospects.com/player/186311/zach-werenski,2019-20,nhl,Zach Werenski,D,DEF,0,0.0,0
Mikko Rantanen (W/C),Colorado Avalanche,42,19,22,41,0.98,14,-2,https://www.eliteprospects.com/player/91186/mikko-rantanen,2019-20,nhl,Mikko Rantanen,W/C,FW,0,0.0,0
Ondrej Palat (LW),Tampa Bay Lightning,69,17,24,41,0.59,22,25,https://www.eliteprospects.com/player/18097/ondrej-palat,2019-20,nhl,Ondrej Palat,LW,FW,0,0.0,0
Nick Suzuki (C),Montréal Canadiens,71,13,28,41,0.58,6,-15,https://www.eliteprospects.com/player/300436/nick-suzuki,2019-20,nhl,Nick Suzuki,C,FW,0,0.0,0
Aaron Ekblad (D),Florida Panthers,67,5,36,41,0.61,26,12,https://www.eliteprospects.com/player/49042/aaron-ekblad,2019-20,nhl,Aaron Ekblad,D,DEF,0,0.0,0
Anthony Duclair (W/C),Ottawa Senators,66,23,17,40,0.61,18,-5,https://www.eliteprospects.com/player/98665/anthony-duclair,2019-20,nhl,Anthony Duclair,W/C,FW,0,0.0,0
James van Riemsdyk (LW),Philadelphia Flyers,66,19,21,40,0.61,8,5,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,2019-20,nhl,James van Riemsdyk,LW,FW,0,0.0,0
Jordan Eberle (RW),New York Islanders,58,16,24,40,0.69,12,1,https://www.eliteprospects.com/player/11098/jordan-eberle,2019-20,nhl,Jordan Eberle,RW,FW,0,0.0,0
Dougie Hamilton (D),Carolina Hurricanes,47,14,26,40,0.85,32,30,https://www.eliteprospects.com/player/45596/dougie-hamilton,2019-20,nhl,Dougie Hamilton,D,DEF,0,0.0,0
Jeff Petry (D),Montréal Canadiens,71,11,29,40,0.56,26,-10,https://www.eliteprospects.com/player/12265/jeff-petry,2019-20,nhl,Jeff Petry,D,DEF,0,0.0,0
Erik Karlsson (D),San Jose Sharks,56,6,34,40,0.71,16,-15,https://www.eliteprospects.com/player/9878/erik-karlsson,2019-20,nhl,Erik Karlsson,D,DEF,0,0.0,0
Rasmus Dahlin (D),Buffalo Sabres,59,4,36,40,0.68,38,-7,https://www.eliteprospects.com/player/310545/rasmus-dahlin,2019-20,nhl,Rasmus Dahlin,D,DEF,0,0.0,0
Conor Garland (RW/LW),Arizona Coyotes,68,22,17,39,0.57,20,1,https://www.eliteprospects.com/player/177208/conor-garland,2019-20,nhl,Conor Garland,RW/LW,FW,0,0.0,0
Jakob Silfverberg (RW/LW),Anaheim Ducks,66,21,18,39,0.59,14,0,https://www.eliteprospects.com/player/6562/jakob-silfverberg,2019-20,nhl,Jakob Silfverberg,RW/LW,FW,0,0.0,0
Jamie Benn (LW),Dallas Stars,69,19,20,39,0.57,53,-4,https://www.eliteprospects.com/player/15399/jamie-benn,2019-20,nhl,Jamie Benn,LW,FW,0,0.0,0
