player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Patrick Kane (RW),Chicago Blackhawks,82,46,60,106,1.29,30,17,https://www.eliteprospects.com/player/9326/patrick-kane,2015-16,nhl,Patrick Kane,RW,FW,0,0.0,0
Jamie Benn (LW),Dallas Stars,82,41,48,89,1.09,64,7,https://www.eliteprospects.com/player/15399/jamie-benn,2015-16,nhl,Jamie Benn,LW,FW,0,0.0,0
Sidney Crosby (C),Pittsburgh Penguins,80,36,49,85,1.06,42,19,https://www.eliteprospects.com/player/6146/sidney-crosby,2015-16,nhl,Sidney Crosby,C,FW,Sidney Crosby,6.0,1
Joe Thornton (C),San Jose Sharks,82,19,63,82,1.00,54,25,https://www.eliteprospects.com/player/3670/joe-thornton,2015-16,nhl,Joe Thornton,C,FW,0,0.0,0
Erik Karlsson (D),Ottawa Senators,82,16,66,82,1.00,50,-2,https://www.eliteprospects.com/player/9878/erik-karlsson,2015-16,nhl,Erik Karlsson,D,DEF,0,0.0,0
Joe Pavelski (C/RW),San Jose Sharks,82,38,40,78,0.95,30,25,https://www.eliteprospects.com/player/10372/joe-pavelski,2015-16,nhl,Joe Pavelski,C/RW,FW,0,0.0,0
Johnny Gaudreau (LW),Calgary Flames,79,30,48,78,0.99,20,4,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2015-16,nhl,Johnny Gaudreau,LW,FW,0,0.0,0
Blake Wheeler (RW/C),Winnipeg Jets,82,26,52,78,0.95,49,8,https://www.eliteprospects.com/player/9215/blake-wheeler,2015-16,nhl,Blake Wheeler,RW/C,FW,0,0.0,0
Artemi Panarin (LW),Chicago Blackhawks,80,30,47,77,0.96,32,8,https://www.eliteprospects.com/player/24664/artemi-panarin,2015-16,nhl,Artemi Panarin,LW,FW,0,0.0,0
Yevgeni Kuznetsov (C),Washington Capitals,82,20,57,77,0.94,32,27,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,2015-16,nhl,Yevgeni Kuznetsov,C,FW,0,0.0,0
Brent Burns (D),San Jose Sharks,82,27,48,75,0.91,53,-5,https://www.eliteprospects.com/player/9103/brent-burns,2015-16,nhl,Brent Burns,D,DEF,0,0.0,0
Vladimir Tarasenko (RW),St. Louis Blues,80,40,34,74,0.93,37,7,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2015-16,nhl,Vladimir Tarasenko,RW,FW,0,0.0,0
Anze Kopitar (C),Los Angeles Kings,81,25,49,74,0.91,16,34,https://www.eliteprospects.com/player/4233/anze-kopitar,2015-16,nhl,Anze Kopitar,C,FW,0,0.0,0
Tyler Seguin (C/RW),Dallas Stars,72,33,40,73,1.01,16,2,https://www.eliteprospects.com/player/23807/tyler-seguin,2015-16,nhl,Tyler Seguin,C/RW,FW,0,0.0,0
Alexander Ovechkin (LW),Washington Capitals,79,50,21,71,0.90,53,21,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2015-16,nhl,Alexander Ovechkin,LW,FW,0,0.0,0
John Tavares (C),New York Islanders,78,33,37,70,0.90,38,6,https://www.eliteprospects.com/player/9223/john-tavares,2015-16,nhl,John Tavares,C,FW,0,0.0,0
Nicklas Bäckström (C),Washington Capitals,75,20,50,70,0.93,36,17,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2015-16,nhl,Nicklas Bäckström,C,FW,0,0.0,0
Patrice Bergeron (C),Boston Bruins,80,32,36,68,0.85,49,12,https://www.eliteprospects.com/player/9079/patrice-bergeron,2015-16,nhl,Patrice Bergeron,C,FW,0,0.0,0
Claude Giroux (W/C),Philadelphia Flyers,78,22,45,67,0.86,53,-8,https://www.eliteprospects.com/player/10437/claude-giroux,2015-16,nhl,Claude Giroux,W/C,FW,0,0.0,0
Kris Letang (D),Pittsburgh Penguins,71,16,51,67,0.94,66,9,https://www.eliteprospects.com/player/9189/kris-letang,2015-16,nhl,Kris Letang,D,DEF,0,0.0,0
Nikita Kucherov (RW),Tampa Bay Lightning,77,30,36,66,0.86,30,9,https://www.eliteprospects.com/player/77237/nikita-kucherov,2015-16,nhl,Nikita Kucherov,RW,FW,0,0.0,0
Jaromír Jágr (RW),Florida Panthers,79,27,39,66,0.84,48,23,https://www.eliteprospects.com/player/8627/jaromir-jagr,2015-16,nhl,Jaromír Jágr,RW,FW,0,0.0,0
Taylor Hall (LW),Edmonton Oilers,82,26,39,65,0.79,54,-4,https://www.eliteprospects.com/player/14360/taylor-hall,2015-16,nhl,Taylor Hall,LW,FW,0,0.0,0
Steven Stamkos (C/W),Tampa Bay Lightning,77,36,28,64,0.83,38,3,https://www.eliteprospects.com/player/11113/steven-stamkos,2015-16,nhl,Steven Stamkos,C/W,FW,0,0.0,0
Filip Forsberg (W/C),Nashville Predators,82,33,31,64,0.78,47,1,https://www.eliteprospects.com/player/29626/filip-forsberg,2015-16,nhl,Filip Forsberg,W/C,FW,0,0.0,0
Max Pacioretty (LW),Montréal Canadiens,82,30,34,64,0.78,34,-10,https://www.eliteprospects.com/player/12461/max-pacioretty,2015-16,nhl,Max Pacioretty,LW,FW,0,0.0,0
Kyle Okposo (RW/C),New York Islanders,79,22,42,64,0.81,51,-4,https://www.eliteprospects.com/player/10458/kyle-okposo,2015-16,nhl,Kyle Okposo,RW/C,FW,0,0.0,0
Jason Spezza (C),Dallas Stars,75,33,30,63,0.84,22,4,https://www.eliteprospects.com/player/3661/jason-spezza,2015-16,nhl,Jason Spezza,C,FW,0,0.0,0
Loui Eriksson (LW/RW),Boston Bruins,82,30,33,63,0.77,12,13,https://www.eliteprospects.com/player/683/loui-eriksson,2015-16,nhl,Loui Eriksson,LW/RW,FW,0,0.0,0
Sean Monahan (C),Calgary Flames,81,27,36,63,0.78,18,-6,https://www.eliteprospects.com/player/85013/sean-monahan,2015-16,nhl,Sean Monahan,C,FW,0,0.0,0
David Krejci (C),Boston Bruins,72,17,46,63,0.88,32,4,https://www.eliteprospects.com/player/9226/david-krejci,2015-16,nhl,David Krejci,C,FW,0,0.0,0
Ryan Getzlaf (C),Anaheim Ducks,77,13,50,63,0.82,55,14,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2015-16,nhl,Ryan Getzlaf,C,FW,0,0.0,0
Corey Perry (RW),Anaheim Ducks,82,34,28,62,0.76,68,2,https://www.eliteprospects.com/player/8541/corey-perry,2015-16,nhl,Corey Perry,RW,FW,0,0.0,0
Jeff Carter (C),Los Angeles Kings,77,24,38,62,0.81,20,18,https://www.eliteprospects.com/player/8813/jeff-carter,2015-16,nhl,Jeff Carter,C,FW,0,0.0,0
Brad Marchand (W/C),Boston Bruins,77,37,24,61,0.79,90,21,https://www.eliteprospects.com/player/10439/brad-marchand,2015-16,nhl,Brad Marchand,W/C,FW,0,0.0,0
Mark Scheifele (C),Winnipeg Jets,71,29,32,61,0.86,48,16,https://www.eliteprospects.com/player/75379/mark-scheifele,2015-16,nhl,Mark Scheifele,C,FW,0,0.0,0
Daniel Sedin (LW),Vancouver Canucks,82,28,33,61,0.74,36,7,https://www.eliteprospects.com/player/737/daniel-sedin,2015-16,nhl,Daniel Sedin,LW,FW,0,0.0,0
Mats Zuccarello (RW/LW),New York Rangers,81,26,35,61,0.75,34,2,https://www.eliteprospects.com/player/10881/mats-zuccarello,2015-16,nhl,Mats Zuccarello,RW/LW,FW,0,0.0,0
Mark Stone (RW),Ottawa Senators,75,23,38,61,0.81,38,-4,https://www.eliteprospects.com/player/32806/mark-stone,2015-16,nhl,Mark Stone,RW,FW,0,0.0,0
Roman Josi (D),Nashville Predators,81,14,47,61,0.75,43,-3,https://www.eliteprospects.com/player/12668/roman-josi,2015-16,nhl,Roman Josi,D,DEF,0,0.0,0
Wayne Simmonds (RW),Philadelphia Flyers,81,32,28,60,0.74,147,-7,https://www.eliteprospects.com/player/12517/wayne-simmonds,2015-16,nhl,Wayne Simmonds,RW,FW,0,0.0,0
Ryan O'Reilly (C),Buffalo Sabres,71,21,39,60,0.85,8,-16,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2015-16,nhl,Ryan O'Reilly,C,FW,0,0.0,0
Jussi Jokinen (W/C),Florida Panthers,81,18,42,60,0.74,42,25,https://www.eliteprospects.com/player/2716/jussi-jokinen,2015-16,nhl,Jussi Jokinen,W/C,FW,0,0.0,0
Ryan Johansen (C),totals,80,14,46,60,0.75,61,6,https://www.eliteprospects.com/player/45512/ryan-johansen,2015-16,nhl,Ryan Johansen,C,FW,0,0.0,0
Matt Duchene (C/RW),Colorado Avalanche,76,30,29,59,0.78,24,-8,https://www.eliteprospects.com/player/12571/matt-duchene,2015-16,nhl,Matt Duchene,C/RW,FW,0,0.0,0
Mike Hoffman (LW/C),Ottawa Senators,78,29,30,59,0.76,18,1,https://www.eliteprospects.com/player/18800/mike-hoffman,2015-16,nhl,Mike Hoffman,LW/C,FW,0,0.0,0
Aleksander Barkov (C),Florida Panthers,66,28,31,59,0.89,8,18,https://www.eliteprospects.com/player/50044/aleksander-barkov,2015-16,nhl,Aleksander Barkov,C,FW,0,0.0,0
Brayden Schenn (C/W),Philadelphia Flyers,80,26,33,59,0.74,33,3,https://www.eliteprospects.com/player/14739/brayden-schenn,2015-16,nhl,Brayden Schenn,C/W,FW,0,0.0,0
Phil Kessel (RW/C),Pittsburgh Penguins,82,26,33,59,0.72,18,9,https://www.eliteprospects.com/player/8793/phil-kessel,2015-16,nhl,Phil Kessel,RW/C,FW,0,0.0,0
Jonathan Huberdeau (LW),Florida Panthers,76,20,39,59,0.78,43,17,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2015-16,nhl,Jonathan Huberdeau,LW,FW,0,0.0,0
Tyler Toffoli (W/C),Los Angeles Kings,82,31,27,58,0.71,20,35,https://www.eliteprospects.com/player/23813/tyler-toffoli,2015-16,nhl,Tyler Toffoli,W/C,FW,0,0.0,0
James Neal (LW/RW),Nashville Predators,82,31,27,58,0.71,65,27,https://www.eliteprospects.com/player/9362/james-neal,2015-16,nhl,James Neal,LW/RW,FW,0,0.0,0
Jonathan Toews (C),Chicago Blackhawks,80,28,30,58,0.73,62,16,https://www.eliteprospects.com/player/8792/jonathan-toews,2015-16,nhl,Jonathan Toews,C,FW,0,0.0,0
Yevgeni Malkin (C),Pittsburgh Penguins,57,27,31,58,1.02,65,1,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2015-16,nhl,Yevgeni Malkin,C,FW,0,0.0,0
Derick Brassard (C/LW),New York Rangers,80,27,31,58,0.73,30,12,https://www.eliteprospects.com/player/9366/derick-brassard,2015-16,nhl,Derick Brassard,C/LW,FW,0,0.0,0
John Klingberg (D),Dallas Stars,76,10,48,58,0.76,30,22,https://www.eliteprospects.com/player/21717/john-klingberg,2015-16,nhl,John Klingberg,D,DEF,0,0.0,0
Kyle Palmieri (RW),New Jersey Devils,82,30,27,57,0.70,39,3,https://www.eliteprospects.com/player/17508/kyle-palmieri,2015-16,nhl,Kyle Palmieri,RW,FW,0,0.0,0
Alex Galchenyuk (C/LW),Montréal Canadiens,82,30,26,56,0.68,20,-8,https://www.eliteprospects.com/player/74611/alex-galchenyuk,2015-16,nhl,Alex Galchenyuk,C/LW,FW,0,0.0,0
Jack Eichel (C),Buffalo Sabres,81,24,32,56,0.69,22,-16,https://www.eliteprospects.com/player/191959/jack-eichel,2015-16,nhl,Jack Eichel,C,FW,0,0.0,0
Bobby Ryan (RW/LW),Ottawa Senators,81,22,34,56,0.69,28,-9,https://www.eliteprospects.com/player/9210/bobby-ryan,2015-16,nhl,Bobby Ryan,RW/LW,FW,0,0.0,0
Mark Giordano (D),Calgary Flames,82,21,35,56,0.68,54,-5,https://www.eliteprospects.com/player/9161/mark-giordano,2015-16,nhl,Mark Giordano,D,DEF,0,0.0,0
Mikko Koivu (C),Minnesota Wild,82,17,39,56,0.68,40,6,https://www.eliteprospects.com/player/2696/mikko-koivu,2015-16,nhl,Mikko Koivu,C,FW,0,0.0,0
Oliver Ekman Larsson (D),Arizona Coyotes,75,21,34,55,0.73,96,-6,https://www.eliteprospects.com/player/7693/oliver-ekman-larsson,2015-16,nhl,Oliver Ekman Larsson,D,DEF,0,0.0,0
Patrick Sharp (LW/RW),Dallas Stars,76,20,35,55,0.72,27,-3,https://www.eliteprospects.com/player/8880/patrick-sharp,2015-16,nhl,Patrick Sharp,LW/RW,FW,Patrick Sharp,12.0,1
Patrick Sharp (LW/RW),Dallas Stars,76,20,35,55,0.72,27,-3,https://www.eliteprospects.com/player/8880/patrick-sharp,2015-16,nhl,Patrick Sharp,LW/RW,FW,Patrick Sharp,14.0,1
Milan Lucic (LW),Los Angeles Kings,81,20,35,55,0.68,79,26,https://www.eliteprospects.com/player/11104/milan-lucic,2015-16,nhl,Milan Lucic,LW,FW,0,0.0,0
Jakub Voracek (RW),Philadelphia Flyers,73,11,44,55,0.75,38,-5,https://www.eliteprospects.com/player/9285/jakub-voracek,2015-16,nhl,Jakub Voracek,RW,FW,0,0.0,0
Henrik Sedin (C),Vancouver Canucks,74,11,44,55,0.74,24,0,https://www.eliteprospects.com/player/738/henrik-sedin,2015-16,nhl,Henrik Sedin,C,FW,0,0.0,0
Tomas Plekanec (C),Montréal Canadiens,82,14,40,54,0.66,36,4,https://www.eliteprospects.com/player/8668/tomas-plekanec,2015-16,nhl,Tomas Plekanec,C,FW,0,0.0,0
Brandon Saad (LW/RW),Columbus Blue Jackets,78,31,22,53,0.68,14,1,https://www.eliteprospects.com/player/31264/brandon-saad,2015-16,nhl,Brandon Saad,LW/RW,FW,0,0.0,0
